X,Y,OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO
-13573858.9535,4502842.4853,22,6331,NEWBY ISLAND SANITARY LANDFILL,1601 DIXON LANDING ROAD,MILPITAS,CA,95035,NOT AVAILABLE,(408) 262-1401,"MUNICIPAL, C&D",OPEN,SANTA CLARA,06085,USA,37.4558797782292,-121.936049623691,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110006533117,1/1/2041,INTERNATIONAL DISPOSAL CORPORATION,NOT AVAILABLE,43-AN-0003
-13371391.0175,4302663.9911,23,6263,AVENAL REGIONAL LANDFILL,201 NORTH HYDRIL ROAD,AVENAL,CA,93204,NOT AVAILABLE,(559) 386-5766,"MUNICIPAL, C&D",OPEN,KING,06031,USA,36.0148433842149,-120.117249209983,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110012694708,12/31/2020,"MADERA DISPOSAL SYSTEMS, INC",NOT AVAILABLE,16-AA-0004
-13485352.3492,4494133.3038,24,6297,FINK ROAD LANDFILL,4000 FINK ROAD,CROWS LANDING,CA,95360,NOT AVAILABLE,(209) 525-6770,"MUNICIPAL, C&D",OPEN,STANISLAUS,06099,USA,37.3937486209022,-121.14098126997,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110012694281,12/1/2023,STANISLAUS COUNTY,NOT AVAILABLE,50-AA-0001
-13359185.9148,4294969.0362,25,6293,"CWMI, KHF (MSW LANDFILL B-19)",35251 OLD SKYLINE ROAD,KETTLEMAN CITY,CA,93239,NOT AVAILABLE,(713) 512-6200,"MUNICIPAL, C&D",OPEN,KINGS,06031,USA,35.9589108202782,-120.007608906826,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110000481443,NOT AVAILABLE,"CHEMICAL WASTE MANAGEMENT, INC",NOT AVAILABLE,16-AA-0021
-13480848.363,4593276.5968,26,6332,NORTH COUNTY LANDFILL & RECYCLING CENTER,17720 EAST HARNEY LANE,LODI,CA,95240,NOT AVAILABLE,(209) 468-3066,"MUNICIPAL, C&D",OPEN,SAN JOAQUIN,06077,USA,38.0979816591263,-121.100521273838,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110012694021,12/31/2048,COUNTY OF SAN JOAQUIN PUBLIC WORKS DEPT,NOT AVAILABLE,39-AA-0022
-13258381.6599,4303533.1344,27,6364,TEAPOT DOME DISPOSAL SITE,AVENUE 128 AND ROAD 208,PORTERVILLE,CA,93257,NOT AVAILABLE,(559) 733-6291,"MUNICIPAL, C&D",OPEN,TULARE,06107,USA,36.021158461394,-119.102068877976,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110014327843,12/31/2022,TULARE COUNTY,NOT AVAILABLE,54-AA-0004
-13491148.3106,4652272.7541,28,6347,SACRAMENTO COUNTY LANDFILL (KIEFER),12701 KIEFER BLVD,SLOUGHHOUSE,CA,95683,NOT AVAILABLE,(916) 875-6789,"MUNICIPAL, C&D",OPEN,SACRAMENTO,06067,USA,38.5138547850704,-121.19304727701,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110017972764,1/1/2064,SACRAMENTO COUNTY DEPT OF WM & RECYCLING,NOT AVAILABLE,34-AA-0001
-13169037.2824,4049053.0468,29,6368,TOYON CANYON PARK RECLAMATION PROJECT,5050 MT HOLLYWOOD DRIVE,LOS ANGELES,CA,90027,NOT AVAILABLE,(800) 773-2489,NOT AVAILABLE,CLOSED,LOS ANGELES,06037,USA,34.1506828878051,-118.299474679013,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110001158407,NOT AVAILABLE,CITY OF LOS ANGELES BUREAU OF SANITATION,NOT AVAILABLE,19-AA-0819
-8119110.2612,5277304.9639,30,502733,READSBORO TRANSFER STATION,NOT AVAILABLE,READSBORO,VT,05350,NOT AVAILABLE,(802) 423-7010,TRANSFER,OPEN,BENNINGTON,50003,USA,42.7718213112046,-72.9352084112392,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://anrweb.vt.gov/DEC/ERT/DataDump.aspx,2019/05/03 00:00:00+00,IMAGERY/OTHER,2020/04/05 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,BN612
-13193293.7395,4073004.6082,31,6361,SUNSHINE CANYON CITY/COUNTY LANDFILL,14747 SAN FERNANDO ROAD,SYLMAR,CA,91342,NOT AVAILABLE,(818) 833-6511,"MUNICIPAL, C&D",OPEN,LOS ANGELES,06037,USA,34.3285541826295,-118.517374140704,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110033204887,12/31/2037,"BROWNING-FERRIS INDUSTRY OF CALIFORNIA, INC",NOT AVAILABLE,19-AA-2000
-13137695.9723,4032406.7113,32,6341,PUENTE HILLS LANDFILL,13130 CROSSROADS PARKWAY SOUTH,CITY OF INDUSTRY,CA,90601,3454,(652) 699-7411,"MUNICIPAL, C&D",CLOSED,LOS ANGELES,06037,USA,34.0268411860719,-118.017930900291,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www2.calrecycle.ca.gov/swfacilities/directory,2019/04/29 00:00:00+00,IMAGERY/OTHER,2020/05/06 00:00:00+00,NOT AVAILABLE,110034181579,7/8/2015,LOS ANGELES COUNTY SANITATION DISTRICT 2,NOT AVAILABLE,19-AA-0053
-12728511.5243,6158453.029,33,301502,FLATHEAD COUNTY SOLID WASTE DISTRICT,4098 US HWY 93 NORTH,KALISPELL,MT,59937,NOT AVAILABLE,(406) 758-5910,MUNICIPAL,CLOSED,FLATHEAD,30029,USA,48.3092197711755,-114.342164464019,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,http://flathead.mt.gov/waste/,110037945739,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,18B
-12691971.0643,5925657.1882,34,301483,"ALLIED WASTE SYSTEMS OF MONTANA, LLC - MISSOULA LANDFILL",3737 COAL MINE ROAD,MISSOULA,MT,59802,NOT AVAILABLE,(406) 543-3157,MUNICIPAL,CLOSED,MISSOULA,30063,USA,46.899327358271,-114.013915926379,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,http://www.republicservices.com/site/missoula-mt/en/pages/home.aspx,110030917765,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,116A
-12457207.8954,5871400.0678,35,301531,VALLEYVIEW LANDFILL,300 HWY 518,MONTANA CITY,MT,59635,NOT AVAILABLE,(406) 227-6300,MUNICIPAL,OPEN,JEFFERSON,30043,USA,46.5652610163829,-111.905002498866,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,http://tcd.us.com/landfill.html,110040441297,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,296A
-12454345.5573,5889125.2973,36,301508,LEWIS & CLARK COUNTY LANDFILL,4075 DEAL LANE,HELENA,MT,59602,NOT AVAILABLE,(406) 457-8521,MUNICIPAL,OPEN,LEWIS & CLARK,30049,USA,46.6746245639725,-111.879289678276,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY/OTHER,2020/04/29 00:00:00+00,http://www.lccountymt.gov/public-works/solid-waste.html,110010345867,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,360
-12535561.6286,5783725.285,37,301490,BUTTE-SILVER BOW LANDFILL,121074 NORTH BROWNS GULCH ROAD,BUTTE,MT,59701,NOT AVAILABLE,(406) 782-1463,MUNICIPAL,CLOSED,SILVER BOW,30093,USA,46.0210633839681,-112.608866059621,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,http://www.co.silverbow.mt.us/177/Solid-Waste-Services,110011048543,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,330
-12377299.0992,6044554.7758,38,301504,HIGH PLAINS SANITARY LANDFILL,142 POWERLINE ROAD,FLOWEREE,MT,59440,NOT AVAILABLE,(406) 452-3143,MUNICIPAL,OPEN,CASCADE,30013,USA,47.6241606683802,-111.18716956912,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,https://plus.google.com/106254243562740114742/about?gl=us&hl=en,110011049123,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,225
-12198931.47,6197147.2675,39,301529,UNIFIED DISPOSAL DISTRICT,7055 ROAD 451 SE,HAVRE,MT,59501,NOT AVAILABLE,(406) 265-9404,MUNICIPAL,CLOSED,HILL,30041,USA,48.5398860769809,-109.584865894146,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,http://hillcounty.us/Sanitarian.html,110044273443,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,490
-10782678.919,5923187.5002,40,381644,CITY OF FARGO LANDFILL,4501 7TH AVENUE NORTH,FARGO,ND,58102,NOT AVAILABLE,(701) 241-1449,MUNICIPAL,OPEN,CASS,38017,USA,46.8841661969125,-96.8624527672814,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/MunicipalSolidWasteFacilities.pdf,2019/05/01 00:00:00+00,IMAGERY,2020/04/23 00:00:00+00,http://www.cityoffargo.com/CityInfo/Departments/SolidWaste/Landfillrules/,110001505176,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-11607962.2896,6082161.3117,41,301518,RICHLAND COUNTY LANDFILL,13436 HIGHWAY 16,SIDNEY,MT,59221,NOT AVAILABLE,(406) 798-3352,MUNICIPAL,OPEN,RICHLAND,30083,USA,47.8513560731244,-104.276099422251,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,https://mt-richlandcounty.civicplus.com/index.aspx?NID=397,110043743651,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,376
-10810722.828,6103536.2676,42,381661,GRAND FORKS MUNICIPAL SOLID WASTE LANDFILL,5500 54TH AVENUE NORTH,GRAND FORKS,ND,58203,NOT AVAILABLE,(701) 738-8740,MUNICIPAL,OPEN,GRAND FORKS,38035,USA,47.980048558794,-97.1143754876386,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/MunicipalSolidWasteFacilities.pdf,2019/05/01 00:00:00+00,IMAGERY,2020/04/23 00:00:00+00,http://www.grandforksgov.com/government/public-works/public-works-sanitation,110040475269,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,SW-0347
-11014383.972,6106577.214,43,381691,ST. MICHAEL'S/FT. TOTTEN LANDFILL,NORTH DAKOTA HWY 57,SAINT MICHAEL,ND,58335,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,CLOSED,BENSON,38005,USA,47.998331221109,-98.9438946717017,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",NOT AVAILABLE,2019/05/01 00:00:00+00,IMAGERY,2020/04/23 00:00:00+00,NOT AVAILABLE,110039541733,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-11533261.1316,6131816.8595,44,381699,WILLISTON LANDFILL,5176 134TH AVE NW,WILLISTON,ND,58801,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,OPEN,WILLIAMS,38105,USA,48.1498261395648,-103.60504750224,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",https://www.ndhealth.gov/wm/Publications/MunicipalSolidWasteFacilities.pdf,2019/05/01 00:00:00+00,IMAGERY,2020/04/23 00:00:00+00,http://cityofwilliston.com/DepartmentContent.aspx?DeptID=PW&PageID=14,110014008830,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
-11776389.3242,5846535.5714,45,301513,CUSTER COUNTY LANDFILL,5100 LEIGHTON BOULEVARD,MILES CITY,MT,59301,NOT AVAILABLE,(406) 232-7991,MUNICIPAL,OPEN,CUSTER,30017,USA,46.4114763169785,-105.789105216832,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2019/05/01 00:00:00+00,IMAGERY,2020/04/29 00:00:00+00,https://plus.google.com/105331931276461284900/about?gl=us&hl=en,110012305674,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,227
